kickoff_et,away,home,spread_away,spread_away_price,spread_home,spread_home_price,total,over_price,under_price,ml_away,ml_home,spreads_book,totals_book,h2h_book
2025-09-18 20:15:00-04:00,Miami Dolphins,Buffalo Bills,12.5,-108,-12.5,-112,49.5,-110,-110,550,-800,DraftKings,DraftKings,DraftKings
2025-09-21 13:00:00-04:00,Atlanta Falcons,Carolina Panthers,-5.5,-112,5.5,-108,43.5,-108,-112,-238,195,DraftKings,DraftKings,DraftKings
2025-09-21 13:00:00-04:00,Cincinnati Bengals,Minnesota Vikings,3.0,-102,-3.0,-118,42.5,-110,-110,145,-175,DraftKings,DraftKings,DraftKings
2025-09-21 13:00:00-04:00,Green Bay Packers,Cleveland Browns,-8.5,-110,8.5,-110,41.5,-112,-108,-520,390,DraftKings,DraftKings,DraftKings
2025-09-21 13:00:00-04:00,Houston Texans,Jacksonville Jaguars,1.5,-112,-1.5,-108,44.5,-105,-115,100,-120,DraftKings,DraftKings,DraftKings
2025-09-21 13:00:00-04:00,Las Vegas Raiders,Washington Commanders,3.5,-110,-3.5,-110,44.5,-110,-110,164,-198,DraftKings,DraftKings,DraftKings
2025-09-21 13:00:00-04:00,Pittsburgh Steelers,New England Patriots,-1.5,-115,1.5,-105,44.5,-112,-108,-122,102,DraftKings,DraftKings,DraftKings
2025-09-21 13:00:00-04:00,New York Jets,Tampa Bay Buccaneers,7.0,-115,-7.0,-105,44.5,-108,-112,250,-310,DraftKings,DraftKings,DraftKings
2025-09-21 13:01:00-04:00,Indianapolis Colts,Tennessee Titans,-3.5,-112,3.5,-108,43.5,-110,-110,-192,160,DraftKings,DraftKings,DraftKings
2025-09-21 13:01:00-04:00,Los Angeles Rams,Philadelphia Eagles,3.5,-115,-3.5,-105,44.5,-110,-110,154,-185,DraftKings,DraftKings,DraftKings
2025-09-21 16:05:00-04:00,Denver Broncos,Los Angeles Chargers,2.5,-108,-2.5,-112,45.5,-115,-105,124,-148,DraftKings,DraftKings,DraftKings
2025-09-21 16:05:00-04:00,New Orleans Saints,Seattle Seahawks,7.5,-115,-7.5,-105,41.5,-108,-112,330,-425,DraftKings,DraftKings,DraftKings
2025-09-21 16:25:00-04:00,Dallas Cowboys,Chicago Bears,1.5,-112,-1.5,-108,49.5,-110,-110,-102,-118,DraftKings,DraftKings,DraftKings
2025-09-21 16:26:00-04:00,Arizona Cardinals,San Francisco 49ers,1.5,-110,-1.5,-110,44.5,-105,-115,114,-135,DraftKings,DraftKings,DraftKings
2025-09-21 20:21:00-04:00,Kansas City Chiefs,New York Giants,-5.5,-115,5.5,-105,45.5,-108,-112,-265,215,DraftKings,DraftKings,DraftKings
2025-09-22 20:15:00-04:00,Detroit Lions,Baltimore Ravens,4.5,-108,-4.5,-112,51.5,-115,-105,185,-225,DraftKings,DraftKings,DraftKings
